first_name,points_per_game,second_name,selected_by_percent,team,total_points,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,creativity_rank,threat_rank,ict_index_rank,position,price,G+A,price_range,ownership
Bernd,2.5,Leno,0.6,ARS,10,2.2,Leno,360,0,0,1,9,10,0,69,85.0,0.0,0.0,8.5,321,410,396,345,Goalkeeper,4.5,0,Budget,Differential
Aaron,4.0,Ramsdale,10.4,ARS,135,27.0,Ramsdale,3060,0,0,12,39,90,14,641,690.2,1.0,0.0,69.0,52,357,486,217,Goalkeeper,5.0,0,Mid,Differential
Matt,0.0,Turner,1.0,ARS,0,0.0,Turner,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,401,392,376,403,Goalkeeper,4.0,0,Budget,Differential
Emiliano,3.6,Martínez Romero,4.8,AVL,129,25.8,Martínez,3240,0,0,11,48,95,7,651,755.8,0.0,0.0,75.4,30,474,469,200,Goalkeeper,5.0,0,Mid,Differential
Robin,1.0,Olsen,3.0,AVL,1,0.2,Olsen,90,0,0,0,3,2,0,14,18.8,0.0,0.0,1.9,363,378,360,375,Goalkeeper,4.0,0,Budget,Differential
Mark,0.0,Travers,0.4,BOU,0,0.0,Travers,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,447,444,435,450,Goalkeeper,4.5,0,Budget,Differential
Will,0.0,Dennis,1.0,BOU,0,0.0,Dennis,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,406,398,382,409,Goalkeeper,4.0,0,Budget,Differential
David,4.0,Raya Martin,11.3,BRE,95,21.1,Raya,2160,0,0,8,27,78,5,496,593.4,10.0,0.0,60.1,77,339,411,233,Goalkeeper,4.5,0,Budget,Differential
Ellery,0.0,Balcombe,1.9,BRE,0,0.0,Balcombe,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,402,394,378,405,Goalkeeper,4.0,0,Budget,Differential
Thomas,0.0,Strakosha,0.2,BRE,0,0.0,Strakosha,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,424,421,408,427,Goalkeeper,4.5,0,Budget,Differential
Jason,2.0,Steele,2.1,BHA,2,0.5,Steele,90,0,0,0,2,3,0,17,28.8,0.0,0.0,2.9,354,371,351,366,Goalkeeper,4.0,0,Budget,Differential
Robert,3.4,Sánchez,13.9,BHA,126,28.0,Sánchez,3330,0,0,11,42,101,8,679,811.0,30.0,0.0,84.0,20,307,429,176,Goalkeeper,4.5,0,Budget,Differential
Kepa,4.8,Arrizabalaga,0.3,CHE,19,4.2,Arrizabalaga,360,0,0,2,2,11,1,89,95.6,0.0,0.0,9.6,313,419,405,338,Goalkeeper,4.5,0,Budget,Differential
Edouard,3.8,Mendy,23.9,CHE,130,26.0,Mendy,3060,0,0,14,31,73,3,573,585.8,0.0,0.0,58.2,84,491,488,239,Goalkeeper,5.0,0,Mid,High
Vicente,4.0,Guaita,1.8,CRY,119,26.4,Guaita,2655,0,0,11,33,83,11,567,614.6,0.0,0.0,61.4,68,404,388,230,Goalkeeper,4.5,0,Budget,Differential
Jack,3.3,Butland,0.4,CRY,30,6.7,Butland,765,0,0,1,13,17,3,132,155.0,0.0,0.0,15.7,291,417,403,325,Goalkeeper,4.5,0,Budget,Differential
Sam,0.0,Johnstone,0.4,CRY,0,0.0,Johnstone,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,420,415,401,423,Goalkeeper,4.5,0,Budget,Differential
Remi,0.0,Matthews,0.3,CRY,0,0.0,Matthews,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,392,381,363,394,Goalkeeper,4.0,0,Budget,Differential
Asmir,4.3,Begović,1.9,EVE,13,3.2,Begović,270,0,0,1,8,11,3,61,81.8,0.0,0.0,8.2,323,369,349,346,Goalkeeper,4.0,0,Budget,Differential
Jordan,3.3,Pickford,5.8,EVE,116,25.8,Pickford,3150,0,0,7,58,117,12,624,863.2,43.0,0.0,90.5,15,290,406,166,Goalkeeper,4.5,0,Budget,Differential
Paulo,0.0,Gazzaniga Farias,12.4,FUL,0,0.0,Gazzaniga,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,389,376,357,391,Goalkeeper,4.0,0,Budget,Differential
Marek,0.0,Rodák,0.3,FUL,0,0.0,Rodák,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,427,424,412,430,Goalkeeper,4.5,0,Budget,Differential
Kasper,3.5,Schmeichel,2.1,LEI,131,26.2,Schmeichel,3330,0,0,7,58,131,12,706,1076.6,11.2,0.0,109.1,4,335,462,122,Goalkeeper,5.0,0,Mid,Differential
Danny,3.0,Ward,2.4,LEI,3,0.8,Ward,90,0,0,0,1,4,0,17,32.4,0.0,0.0,3.2,350,375,356,363,Goalkeeper,4.0,0,Budget,Differential
Kristoffer,2.0,Klaesson,0.8,LEE,2,0.5,Klaesson,35,0,0,0,0,4,0,12,25.4,0.0,0.0,2.5,355,391,375,368,Goalkeeper,4.0,0,Budget,Differential
Illan,2.8,Meslier,3.2,LEE,106,23.6,Meslier,3384,0,0,5,79,143,8,713,1090.6,0.0,0.0,108.9,3,450,442,123,Goalkeeper,4.5,0,Budget,Differential
Alisson,4.9,Ramses Becker,19.3,LIV,176,32.0,Alisson,3240,0,1,20,24,75,15,782,721.4,10.0,0.0,73.1,41,340,504,207,Goalkeeper,5.5,1,Mid,High
Caoimhin,4.0,Kelleher,0.8,LIV,8,2.0,Kelleher,180,0,0,1,2,6,0,52,46.2,0.0,0.0,4.6,339,385,368,358,Goalkeeper,4.0,0,Budget,Differential
Adrián,0.0,San Miguel del Castillo,0.4,LIV,0,0.0,Adrián,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,387,373,353,389,Goalkeeper,4.0,0,Budget,Differential
Ederson,4.2,Santana de Moraes,15.1,MCI,155,28.2,Ederson,3330,0,0,20,26,60,4,701,561.2,0.0,0.0,56.1,93,506,505,243,Goalkeeper,5.5,0,Mid,High
Zack,7.0,Steffen,0.2,MCI,7,1.8,Steffen,90,0,0,1,0,2,1,29,23.0,0.0,0.0,2.3,357,380,362,370,Goalkeeper,4.0,0,Budget,Differential
Stefan,0.0,Ortega Moreno,0.7,MCI,0,0.0,Ortega,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,388,374,355,390,Goalkeeper,4.0,0,Budget,Differential
Scott,0.0,Carson,0.2,MCI,0,0.0,Carson,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,385,366,345,387,Goalkeeper,4.0,0,Budget,Differential
David,3.5,De Gea Quintana,7.1,MUN,132,26.4,De Gea,3420,0,0,8,57,127,7,667,965.8,0.3,0.0,96.1,8,364,464,150,Goalkeeper,5.0,0,Mid,Differential
Tom,0.0,Heaton,0.6,MUN,0,0.0,Heaton,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,386,368,348,388,Goalkeeper,4.0,0,Budget,Differential
Karl,2.5,Darlow,4.2,NEW,20,5.0,Darlow,720,0,0,0,15,24,3,110,157.0,0.0,0.0,15.8,288,372,352,324,Goalkeeper,4.0,0,Budget,Differential
Martin,3.7,Dubravka,1.5,NEW,96,21.3,Dubravka,2340,0,0,8,35,73,9,465,590.8,20.0,0.0,61.1,79,318,395,231,Goalkeeper,4.5,0,Budget,Differential
Nick,3.6,Pope,4.9,NEW,130,26.0,Pope,3240,0,0,9,47,120,12,683,902.8,20.0,0.0,92.4,12,319,468,160,Goalkeeper,5.0,0,Mid,Differential
