id,name,now_cost,position,team,clean_sheets_per_90,threat_rank_type,expected_assists_per_90,expected_assists,points_per_game_rank,goals_scored,penalties_missed,creativity_rank_type,transfers_out,value_form,direct_freekicks_order,value_season,bonus,starts_per_90,cost_change_start,news_added,expected_goals_conceded,cost_change_start_fall,expected_goals_conceded_per_90,red_cards,threat,selected_rank_type,influence,penalties_saved,corners_and_indirect_freekicks_order,ep_next,event_points,web_name,creativity,ict_index_rank,saves_per_90,creativity_rank,expected_goals,own_goals,status,now_cost_rank_type,saves,yellow_cards,goals_conceded,news,expected_goal_involvements_per_90,assists,form_rank_type,ict_index_rank_type,chance_of_playing_next_round,influence_rank,penalties_order,ict_index,form,dreamteam_count,expected_goal_involvements,chance_of_playing_this_round,starts,points_per_game,minutes,total_points,in_dreamteam,form_rank,selected_rank,expected_goals_per_90,threat_rank,ep_this,transfers_in,bps,goals_conceded_per_90,selected_by_percent,influence_rank_type,points_per_game_rank_type,clean_sheets,now_cost_rank
3,Granit Xhaka,48,MID,Arsenal,0.39,38,0.12,3.89,47,7,0,25,832169,1.4,2.0,31.9,15,1.08,-2,2023-04-22T08:30:07.774962Z,36.52,2,1.1,0,498.0,41,647.0,0,,5.3,15,Xhaka,673.3,41,0.0,32,4.65,0,a,157,0,4,35,,0.26,8,2,28,100.0,60,,182.0,6.8,2,8.54,100.0,36,4.1,2992,153,False,5,118,0.14,62,7.3,942505,634,1.05,2.7,23,23,13,265
4,Mohamed Elneny,41,MID,Arsenal,0.0,233,0.03,0.04,457,0,0,221,279536,0.0,,1.5,0,0.81,-4,2023-01-26T10:00:07.778526Z,1.29,4,1.05,0,0.0,81,4.6,0,,0.0,0,Elneny,5.4,505,0.0,460,0.00,0,i,335,0,0,2,Knee injury - Unknown return date,0.03,0,194,227,0.0,505,,1.1,0.0,1,0.04,0.0,1,1.2,111,6,False,528,249,0.0,593,0.0,202760,27,1.62,0.6,226,201,0,634
5,Rob Holding,42,DEF,Arsenal,0.0,118,0.02,0.15,405,1,0,159,27980,0.0,,5.0,0,0.96,-3,,11.14,3,1.78,0,54.0,143,152.0,0,,0.7,0,Holding,10.3,399,0.0,448,0.32,0,a,160,0,0,13,,0.07,0,121,146,,339,,21.6,0.2,0,0.47,,6,1.5,562,21,False,376,377,0.05,341,0.7,23338,120,2.08,0.2,137,144,0,598
6,Thomas Partey,47,MID,Arsenal,0.4,90,0.08,2.17,210,3,0,59,141958,0.3,,18.3,6,1.02,-3,2023-03-31T15:30:08.770925Z,32.27,3,1.17,0,240.0,95,513.2,0,,1.5,3,Partey,439.6,97,0.0,70,2.59,0,a,186,0,5,28,,0.17,0,108,68,100.0,110,,119.5,1.4,0,4.76,100.0,28,2.6,2480,86,False,233,284,0.09,152,1.9,110171,468,1.02,0.4,47,80,11,311
7,Martin Ødegaard,69,MID,Arsenal,0.37,8,0.23,8.02,7,15,0,5,5015435,0.9,1.0,30.7,30,1.06,4,2023-03-09T22:30:08.763464Z,37.94,-4,1.09,0,920.0,3,960.0,0,3.0,7.7,3,Ødegaard,1100.4,6,0.0,7,9.75,0,a,22,0,4,38,,0.51,8,3,4,100.0,10,,298.3,6.4,5,17.77,100.0,37,5.7,3132,212,True,8,5,0.28,18,6.9,7014051,813,1.09,33.3,3,3,13,44
8,Kieran Tierney,46,DEF,Arsenal,0.12,108,0.05,0.43,432,0,0,101,158213,0.2,,8.0,0,0.7,-4,2023-03-29T08:30:08.049621Z,10.90,4,1.27,0,67.0,75,144.0,0,,1.5,1,Tierney,85.5,366,0.0,313,0.38,0,a,57,0,0,10,,0.09,1,92,129,100.0,350,,29.9,1.0,0,0.81,100.0,6,1.4,774,37,False,280,208,0.04,323,1.5,98909,164,1.16,0.8,144,154,1,332
9,Nicolas Pépé,53,MID,Arsenal,0.0,334,0.0,0.00,769,0,0,334,36735,0.0,,0.0,0,0.0,-2,2022-08-26T07:24:29.541862Z,0.00,2,0.0,0,0.0,162,0.0,0,,0.0,0,Pépé,0.0,769,0.0,767,0.00,0,u,78,0,0,0,Season-long loan to Nice,0.0,0,327,334,0.0,768,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,753,445,0.0,765,0.0,5198,0,0.0,0.1,334,334,0,146
10,Benjamin White,50,DEF,Arsenal,0.44,38,0.11,3.60,49,2,0,8,2217969,0.7,,31.2,12,1.06,5,,37.23,-5,1.1,0,159.0,6,649.0,0,,3.3,6,White,491.2,84,0.0,61,1.25,0,a,24,0,5,35,,0.15,5,19,9,,59,,130.0,3.4,1,4.85,,36,4.1,3054,156,True,69,21,0.04,208,3.9,3320417,734,1.03,16.1,17,6,15,197
11,Eddie Nketiah,63,FWD,Arsenal,0.17,17,0.11,1.26,303,4,0,38,1865358,0.1,,10.0,5,0.76,-7,2023-03-02T00:00:07.606120Z,14.65,7,1.23,0,598.0,24,213.4,0,,1.0,1,Nketiah,128.2,143,0.0,247,7.89,0,a,27,0,3,16,,0.77,2,48,24,100.0,294,,93.1,0.6,1,9.15,100.0,9,2.1,1071,63,False,332,145,0.66,43,1.1,1928295,161,1.34,1.8,33,42,2,61
12,Emile Smith Rowe,56,MID,Arsenal,0.0,186,0.31,0.55,421,0,0,180,151276,0.2,,3.2,0,0.0,-4,2023-02-03T10:30:09.166437Z,2.71,4,1.51,0,39.0,101,36.6,0,,0.7,4,Smith Rowe,64.3,427,0.0,348,0.25,0,a,50,0,0,5,,0.45,2,137,192,100.0,455,,13.8,1.0,0,0.80,100.0,0,1.5,161,18,False,290,301,0.14,383,1.5,29334,60,2.8,0.4,200,183,0,95
13,Bukayo Saka,80,MID,Arsenal,0.34,4,0.17,5.97,12,14,1,6,5658739,0.4,,25.2,19,1.05,0,2023-05-26T15:00:11.378383Z,39.66,0,1.12,0,1164.0,6,972.2,0,1.0,2.0,6,Saka,1091.8,5,0.0,8,11.49,0,d,8,0,6,42,Knock - 75% chance of playing,0.49,12,50,3,75.0,8,1.0,322.8,3.0,7,17.46,75.0,37,5.3,3183,202,True,103,11,0.32,9,2.6,6134396,678,1.19,25.6,2,6,12,18
