position,team,clean_sheets_per_90,expected_assists_per_90,expected_assists,goals_scored,value_form,value_season,bonus,expected_goals_conceded,expected_goals_conceded_per_90,threat,influence,penalties_saved,web_name,creativity,expected_goals,saves,goals_conceded,expected_goal_involvements_per_90,assists,ict_index,form,dreamteam_count,expected_goal_involvements,starts,points_per_game,minutes,total_points,expected_goals_per_90,bps,goals_conceded_per_90,selected_by_percent,clean_sheets,price,G+A,price_range,ownership
GKP,ARS,0.37,0.0,0.02,0,1.0,29.8,9,42.31,1.11,0.0,761.4,0,Ramsdale,0.0,0.0,94,43,0.0,0,76.2,4.6,3,0.02,38,3.8,3420,143,0.0,664,1.13,11.4,14,4.8,0,Budget,Differential
GKP,ARS,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Turner,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,1.4,0,3.8,0,Budget,Differential
GKP,ARS,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Hein,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,3.9,0,Budget,Differential
GKP,AVL,0.32,0.01,0.21,0,0.5,27.0,15,43.46,1.25,0.0,813.0,1,Martínez,23.0,0.0,98,38,0.01,0,83.5,2.4,3,0.21,36,3.8,3139,135,0.0,678,1.09,6.6,11,5.0,0,Mid,Differential
GKP,AVL,0.32,0.0,0.0,0,0.0,2.6,1,8.56,2.75,0.0,83.2,0,Olsen,0.0,0.0,11,8,0.0,0,8.2,0.0,0,0.0,2,2.5,280,10,0.0,62,2.57,1.4,1,3.9,0,Budget,Differential
GKP,AVL,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Marschall,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,AVL,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Sinisalo,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,AVL,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Zych,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,AVL,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Wright,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,BOU,0.17,0.0,0.0,0,0.1,6.8,1,19.68,1.71,0.0,253.0,0,Travers,0.0,0.0,36,32,0.0,0,25.4,0.6,0,0.0,11,2.3,1035,28,0.0,193,2.78,0.4,2,4.1,0,Budget,Differential
GKP,BOU,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Dennis,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.4,0,3.9,0,Budget,Differential
GKP,BOU,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Randolph,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.1,0,4.0,0,Budget,Differential
GKP,BOU,0.23,0.0,0.02,0,0.4,20.7,9,44.7,1.69,0.0,727.6,0,Neto,0.0,0.0,100,39,0.0,0,72.8,1.8,1,0.02,27,3.4,2385,93,0.0,510,1.47,0.6,6,4.5,0,Budget,Differential
GKP,BOU,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Plain,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,BRE,0.32,0.0,0.12,0,1.0,34.6,20,50.12,1.32,4.0,1125.4,0,Raya,20.1,0.11,154,46,0.0,0,115.2,5.0,1,0.23,38,4.4,3420,166,0.0,822,1.21,14.4,12,4.8,0,Budget,Differential
GKP,BRE,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Balcombe,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,BRE,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Strakosha,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.1,0,4.3,0,Budget,Differential
GKP,BRE,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Cox,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,3.9,0,Budget,Differential
GKP,BHA,0.4,0.01,0.15,0,0.8,16.2,8,23.46,1.56,0.0,347.6,1,Steele,13.0,0.0,37,23,0.01,1,36.1,3.0,3,0.15,15,4.3,1350,65,0.0,332,1.53,6.0,6,4.0,1,Budget,Differential
GKP,BHA,0.26,0.0,0.01,0,0.0,18.6,10,27.6,1.2,0.0,439.0,1,Sánchez,0.1,0.0,48,30,0.0,0,43.9,0.0,0,0.01,23,3.6,2070,82,0.0,380,1.3,7.6,6,4.4,0,Budget,Differential
GKP,BHA,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Scherpen,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,BHA,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,McGill,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,CHE,0.32,0.0,0.0,0,0.4,26.2,15,38.34,1.35,0.0,706.2,0,Arrizabalaga,0.1,0.0,91,33,0.0,0,70.6,2.0,2,0.0,29,4.1,2565,118,0.0,575,1.16,6.4,9,4.5,0,Budget,Differential
GKP,CHE,0.11,0.0,0.0,0,0.0,5.0,0,14.24,1.5,0.0,200.4,0,Mendy,0.0,0.0,25,14,0.0,0,20.2,0.2,1,0.0,9,2.4,855,24,0.0,132,1.47,5.8,1,4.8,0,Budget,Differential
GKP,CHE,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Bettinelli,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,CHE,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Wady,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,CRY,0.22,0.0,0.01,0,0.0,22.5,10,38.2,1.41,0.0,668.4,0,Guaita,0.0,0.0,85,34,0.0,0,66.8,0.0,1,0.01,27,3.7,2430,99,0.0,484,1.26,1.4,6,4.4,0,Budget,Differential
GKP,CRY,0.33,0.0,0.0,0,0.7,8.2,5,8.81,0.98,0.0,155.0,0,Johnstone,0.0,0.0,26,10,0.0,0,15.6,3.0,2,0.0,9,4.0,810,36,0.0,159,1.11,1.1,3,4.4,0,Budget,Differential
GKP,CRY,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Matthews,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,CRY,0.0,0.0,0.0,0,0.0,0.8,0,2.07,1.04,0.0,41.8,0,Whitworth,0.0,0.0,5,5,0.0,0,4.2,0.0,0,0.0,2,1.5,180,3,0.0,28,2.5,0.1,0,4.0,0,Budget,Differential
GKP,CRY,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Goodman,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,EVE,1.0,0.0,0.0,0,0.0,2.4,2,1.04,1.04,0.0,36.0,0,Begović,0.0,0.0,4,0,0.0,0,3.6,0.0,1,0.0,1,9.0,90,9,0.0,30,0.0,0.8,1,3.8,0,Budget,Differential
GKP,EVE,0.22,0.01,0.35,0,1.0,28.2,10,66.41,1.79,0.0,991.2,1,Pickford,23.0,0.0,124,57,0.01,1,101.3,4.4,1,0.35,37,3.4,3330,124,0.0,666,1.54,6.2,8,4.4,1,Budget,Differential
GKP,EVE,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Jakupović,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,EVE,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Lonergan,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,FUL,0.22,0.0,0.0,0,1.0,30.9,17,62.75,1.74,0.0,1115.8,1,Leno,10.0,0.0,144,51,0.0,0,112.7,4.5,2,0.0,36,3.9,3240,142,0.0,766,1.42,3.5,8,4.6,0,Budget,Differential
GKP,FUL,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Gazzaniga,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,1.2,0,4.0,0,Budget,Differential
GKP,FUL,0.5,0.0,0.0,0,0.0,1.6,0,2.12,1.06,0.0,19.0,0,Rodák,0.0,0.0,2,2,0.0,0,1.9,0.0,0,0.0,2,3.5,180,7,0.0,33,1.0,0.2,1,4.3,0,Budget,Differential
GKP,FUL,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Wickens,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,LEI,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Schmeichel,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.1,0,5.0,0,Mid,Differential
GKP,LEI,0.23,0.0,0.0,0,0.0,23.9,12,42.87,1.65,0.0,631.4,1,Ward,0.0,0.0,77,46,0.0,0,63.0,0.0,3,0.0,26,3.5,2340,91,0.0,485,1.77,18.4,6,3.8,0,Budget,High
GKP,LEI,0.08,0.0,0.0,0,0.8,7.4,2,21.24,1.77,0.0,255.8,0,Iversen,0.0,0.0,38,22,0.0,0,25.6,3.0,0,0.0,12,2.4,1080,29,0.0,183,1.83,5.1,1,3.9,0,Budget,Differential
GKP,LEI,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Smithies,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.1,0,3.9,0,Budget,Differential
GKP,LEE,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Klaesson,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.7,0,3.8,0,Budget,Differential
GKP,LEE,0.15,0.0,0.01,0,0.0,20.5,8,57.06,1.68,17.0,738.6,0,Meslier,0.0,0.12,94,67,0.0,0,75.9,0.2,1,0.13,34,2.6,3060,90,0.0,548,1.97,1.7,5,4.4,0,Budget,Differential
GKP,LEE,0.0,0.0,0.01,0,0.4,1.8,0,9.16,2.29,0.0,93.2,0,Robles,0.0,0.0,16,11,0.0,0,9.3,1.4,0,0.01,4,1.8,360,7,0.0,65,2.75,0.1,0,4.0,0,Budget,Differential
GKP,LIV,0.38,0.0,0.02,0,0.9,29.5,15,50.02,1.35,0.0,966.4,1,Alisson,10.1,0.0,107,43,0.0,1,97.6,4.7,1,0.02,37,4.4,3330,162,0.0,824,1.16,16.8,14,5.5,1,Mid,High
GKP,LIV,0.0,0.0,0.0,0,0.1,0.5,0,1.77,1.77,0.0,0.0,0,Kelleher,0.0,0.0,6,4,0.0,0,0.0,0.3,0,0.0,1,2.0,90,2,0.0,20,4.0,0.2,0,3.9,0,Budget,Differential
GKP,LIV,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Adrián,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.6,0,3.8,0,Budget,Differential
GKP,LIV,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,H.Davies,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,MCI,0.31,0.01,0.22,0,0.4,22.4,8,28.08,0.8,0.0,479.0,0,Ederson,13.1,0.0,46,32,0.01,1,49.2,2.0,0,0.22,35,3.5,3150,121,0.0,581,0.91,15.0,11,5.4,1,Mid,High
GKP,MCI,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Steffen,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,MCI,0.67,0.0,0.0,0,0.9,6.2,5,4.12,1.37,0.0,116.8,0,Ortega,0.0,0.0,14,1,0.0,0,11.7,3.3,1,0.0,3,7.7,270,23,0.0,90,0.33,1.5,2,3.7,0,Budget,Differential
GKP,MCI,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Carson,0.0,0.0,0,0,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0,0.0,0,0.0,0.4,0,3.8,0,Budget,Differential
GKP,MUN,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Butland,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.1,0,4.4,0,Budget,Differential
GKP,MUN,0.45,0.01,0.22,0,1.0,31.6,5,50.24,1.32,0.0,792.2,1,De Gea,13.0,0.0,101,43,0.01,0,80.7,5.0,2,0.22,38,4.2,3420,161,0.0,729,1.13,15.8,17,5.1,0,Mid,High
GKP,MUN,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Heaton,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.3,0,3.8,0,Budget,Differential
GKP,MUN,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Kovár,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,MUN,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Bishop,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,NEW,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Darlow,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.7,0,3.9,0,Budget,Differential
GKP,NEW,0.58,0.0,0.0,0,0.1,2.7,1,3.33,1.92,0.0,29.4,0,Dubravka,0.0,0.0,10,1,0.0,0,2.9,0.5,0,0.0,1,5.5,156,11,0.0,49,0.58,0.4,1,4.1,0,Budget,Differential
GKP,NEW,0.39,0.0,0.01,0,0.6,29.1,14,39.44,1.09,0.0,709.6,2,Pope,20.0,0.0,87,32,0.0,0,72.9,3.3,3,0.01,37,4.2,3261,157,0.0,678,0.88,18.0,14,5.4,0,Mid,High
GKP,NEW,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Karius,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.1,0,3.9,0,Budget,Differential
GKP,NEW,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Gillespie,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,NFO,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Samba,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.5,0,Budget,Differential
GKP,NFO,0.33,0.0,0.01,0,0.0,17.8,12,26.97,1.5,0.0,474.4,2,Henderson,0.0,0.0,54,31,0.0,0,47.5,0.0,2,0.01,18,4.6,1620,82,0.0,367,1.72,5.2,6,4.6,0,Budget,Differential
GKP,NFO,0.0,0.0,0.0,0,0.3,2.1,0,5.43,1.8,0.0,62.2,0,Hennessey,0.0,0.0,10,5,0.0,0,6.3,1.0,0,0.0,3,2.0,271,8,0.0,46,1.66,1.4,0,3.9,0,Budget,Differential
GKP,NFO,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Smith,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,NFO,0.12,0.0,0.01,0,0.7,9.6,5,33.0,1.94,0.0,387.6,0,Navas,0.0,0.0,51,32,0.0,0,38.7,3.0,0,0.01,17,2.5,1530,43,0.0,273,1.88,0.8,2,4.5,0,Budget,Differential
GKP,NFO,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,G.Shelvey,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,SOU,0.0,0.0,0.0,0,0.3,1.9,0,15.16,2.53,0.0,84.2,0,McCarthy,0.0,0.0,14,17,0.0,0,8.4,1.2,0,0.0,6,1.3,540,8,0.0,83,2.83,0.1,0,4.3,0,Budget,Differential
GKP,SOU,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Lis,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.1,0,4.0,0,Budget,Differential
GKP,SOU,0.12,0.0,0.05,0,0.0,19.1,3,46.75,1.46,0.0,633.0,1,Bazunu,10.0,0.0,69,56,0.0,0,64.2,0.0,0,0.05,32,2.6,2880,84,0.0,485,1.75,0.6,4,4.4,0,Budget,Differential
GKP,SOU,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Caballero,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.9,0,3.8,0,Budget,Differential
GKP,TOT,0.29,0.0,0.0,0,0.0,16.5,12,30.16,1.23,0.0,540.0,0,Lloris,0.0,0.0,79,39,0.0,0,54.0,0.0,1,0.0,25,3.6,2205,89,0.0,456,1.59,3.2,7,5.4,0,Mid,Differential
GKP,TOT,0.22,0.0,0.0,0,0.5,10.3,1,19.21,1.42,0.0,256.8,1,Forster,0.0,0.0,32,24,0.0,0,25.8,1.8,0,0.0,13,2.9,1215,40,0.0,222,1.78,4.4,3,3.9,0,Budget,Differential
GKP,TOT,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Austin,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.3,0,3.9,0,Budget,Differential
GKP,WHU,0.26,0.0,0.0,0,0.7,25.9,10,45.55,1.32,0.0,755.6,1,Fabianski,0.0,0.0,109,48,0.0,0,75.4,3.2,0,0.0,36,3.5,3111,127,0.0,622,1.39,1.2,9,4.9,0,Budget,Differential
GKP,WHU,0.0,0.0,0.0,0,0.0,1.6,0,7.63,2.24,0.0,69.4,0,Areola,0.0,0.0,9,7,0.0,0,6.8,0.0,0,0.0,2,1.4,307,7,0.0,42,2.05,0.9,0,4.3,0,Budget,Differential
GKP,WHU,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Anang,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,4.0,0,Budget,Differential
GKP,WHU,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Hegyi,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,3.9,0,Budget,Differential
GKP,WOL,0.31,0.0,0.0,0,0.5,29.6,18,54.63,1.52,0.0,845.6,2,Sá,0.0,0.0,108,55,0.0,0,84.7,2.5,2,0.0,36,4.1,3240,148,0.0,683,1.53,5.1,11,5.0,0,Mid,Differential
GKP,WOL,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Šarkić,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,1.4,0,3.9,0,Budget,Differential
GKP,WOL,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Smith,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.7,0,3.9,0,Budget,Differential
GKP,WOL,0.0,0.0,0.0,0,0.4,1.5,0,4.66,2.33,0.0,70.2,0,Bentley,0.0,0.0,11,3,0.0,0,7.0,1.5,0,0.0,2,3.0,180,6,0.0,45,1.5,0.0,0,4.0,0,Budget,Differential
DEF,ARS,0.0,0.02,0.15,1,0.0,5.0,0,11.14,1.78,54.0,152.0,0,Holding,10.3,0.32,0,13,0.07,0,21.6,0.2,0,0.47,6,1.5,562,21,0.05,120,2.08,0.2,0,4.2,1,Budget,Differential
